,nome_campo,tipo_campo,campos_nulos,arquivo,data
0,regiao_sigla,object,0,ca-2021-02.csv,2025-11-28
1,estado_sigla,object,0,ca-2021-02.csv,2025-11-28
2,municipio,object,0,ca-2021-02.csv,2025-11-28
3,revenda,object,0,ca-2021-02.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2021-02.csv,2025-11-28
5,nome_da_rua,object,0,ca-2021-02.csv,2025-11-28
6,numero_rua,object,192,ca-2021-02.csv,2025-11-28
7,complemento,object,376223,ca-2021-02.csv,2025-11-28
8,bairro,object,1119,ca-2021-02.csv,2025-11-28
9,cep,object,0,ca-2021-02.csv,2025-11-28
10,produto,object,0,ca-2021-02.csv,2025-11-28
11,data_da_coleta,datetime64[ns],0,ca-2021-02.csv,2025-11-28
12,valor_de_venda,float32,0,ca-2021-02.csv,2025-11-28
13,valor_de_compra,float32,472856,ca-2021-02.csv,2025-11-28
14,unidade_de_medida,object,0,ca-2021-02.csv,2025-11-28
15,bandeira,object,0,ca-2021-02.csv,2025-11-28
0,regiao_sigla,object,0,ca-2020-01.csv,2025-11-28
1,estado_sigla,object,0,ca-2020-01.csv,2025-11-28
2,municipio,object,0,ca-2020-01.csv,2025-11-28
3,revenda,object,0,ca-2020-01.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2020-01.csv,2025-11-28
5,nome_da_rua,object,0,ca-2020-01.csv,2025-11-28
6,numero_rua,object,347,ca-2020-01.csv,2025-11-28
7,complemento,object,367205,ca-2020-01.csv,2025-11-28
8,bairro,object,1955,ca-2020-01.csv,2025-11-28
9,cep,object,0,ca-2020-01.csv,2025-11-28
10,produto,object,0,ca-2020-01.csv,2025-11-28
11,data_da_coleta,datetime64[ns],0,ca-2020-01.csv,2025-11-28
12,valor_de_venda,float32,0,ca-2020-01.csv,2025-11-28
13,valor_de_compra,float32,367688,ca-2020-01.csv,2025-11-28
14,unidade_de_medida,object,0,ca-2020-01.csv,2025-11-28
15,bandeira,object,0,ca-2020-01.csv,2025-11-28
0,regiao_sigla,object,0,ca-2021-01.csv,2025-11-28
1,estado_sigla,object,0,ca-2021-01.csv,2025-11-28
2,municipio,object,0,ca-2021-01.csv,2025-11-28
3,revenda,object,0,ca-2021-01.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2021-01.csv,2025-11-28
5,nome_da_rua,object,0,ca-2021-01.csv,2025-11-28
6,numero_rua,object,123,ca-2021-01.csv,2025-11-28
7,complemento,object,265949,ca-2021-01.csv,2025-11-28
8,bairro,object,610,ca-2021-01.csv,2025-11-28
9,cep,object,0,ca-2021-01.csv,2025-11-28
10,produto,object,0,ca-2021-01.csv,2025-11-28
11,data_da_coleta,datetime64[ns],0,ca-2021-01.csv,2025-11-28
12,valor_de_venda,float32,0,ca-2021-01.csv,2025-11-28
13,valor_de_compra,float32,334681,ca-2021-01.csv,2025-11-28
14,unidade_de_medida,object,0,ca-2021-01.csv,2025-11-28
15,bandeira,object,0,ca-2021-01.csv,2025-11-28
0,regiao_sigla,object,0,ca-2020-02.csv,2025-11-28
1,estado_sigla,object,0,ca-2020-02.csv,2025-11-28
2,municipio,object,0,ca-2020-02.csv,2025-11-28
3,revenda,object,0,ca-2020-02.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2020-02.csv,2025-11-28
5,nome_da_rua,object,0,ca-2020-02.csv,2025-11-28
6,numero_rua,object,172,ca-2020-02.csv,2025-11-28
7,complemento,object,167893,ca-2020-02.csv,2025-11-28
8,bairro,object,651,ca-2020-02.csv,2025-11-28
9,cep,object,0,ca-2020-02.csv,2025-11-28
10,produto,object,0,ca-2020-02.csv,2025-11-28
11,data_da_coleta,datetime64[ns],0,ca-2020-02.csv,2025-11-28
12,valor_de_venda,float32,0,ca-2020-02.csv,2025-11-28
13,valor_de_compra,float32,195600,ca-2020-02.csv,2025-11-28
14,unidade_de_medida,object,0,ca-2020-02.csv,2025-11-28
15,bandeira,object,0,ca-2020-02.csv,2025-11-28
0,regiao_sigla,object,0,ca-2022-01.csv,2025-11-28
1,estado_sigla,object,0,ca-2022-01.csv,2025-11-28
2,municipio,object,0,ca-2022-01.csv,2025-11-28
3,revenda,object,0,ca-2022-01.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2022-01.csv,2025-11-28
5,nome_da_rua,object,0,ca-2022-01.csv,2025-11-28
6,numero_rua,object,213,ca-2022-01.csv,2025-11-28
7,complemento,object,415488,ca-2022-01.csv,2025-11-28
8,bairro,object,1433,ca-2022-01.csv,2025-11-28
9,cep,object,0,ca-2022-01.csv,2025-11-28
10,produto,object,0,ca-2022-01.csv,2025-11-28
11,data_da_coleta,datetime64[ns],0,ca-2022-01.csv,2025-11-28
12,valor_de_venda,float32,0,ca-2022-01.csv,2025-11-28
13,valor_de_compra,float32,529424,ca-2022-01.csv,2025-11-28
14,unidade_de_medida,object,0,ca-2022-01.csv,2025-11-28
15,bandeira,object,0,ca-2022-01.csv,2025-11-28
0,regiao_sigla,object,0,ca-2022-02.csv,2025-11-28
1,estado_sigla,object,0,ca-2022-02.csv,2025-11-28
2,municipio,object,0,ca-2022-02.csv,2025-11-28
3,revenda,object,0,ca-2022-02.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2022-02.csv,2025-11-28
5,nome_da_rua,object,0,ca-2022-02.csv,2025-11-28
6,numero_rua,object,176,ca-2022-02.csv,2025-11-28
7,complemento,object,296814,ca-2022-02.csv,2025-11-28
8,bairro,object,901,ca-2022-02.csv,2025-11-28
9,cep,object,0,ca-2022-02.csv,2025-11-28
10,produto,object,0,ca-2022-02.csv,2025-11-28
11,data_da_coleta,datetime64[ns],0,ca-2022-02.csv,2025-11-28
12,valor_de_venda,float32,0,ca-2022-02.csv,2025-11-28
13,valor_de_compra,float32,378078,ca-2022-02.csv,2025-11-28
14,unidade_de_medida,object,0,ca-2022-02.csv,2025-11-28
15,bandeira,object,0,ca-2022-02.csv,2025-11-28
0,regiao_sigla,object,0,ca-2023-01.csv,2025-11-28
1,estado_sigla,object,0,ca-2023-01.csv,2025-11-28
2,municipio,object,0,ca-2023-01.csv,2025-11-28
3,revenda,object,0,ca-2023-01.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2023-01.csv,2025-11-28
5,nome_da_rua,object,0,ca-2023-01.csv,2025-11-28
6,numero_rua,object,107,ca-2023-01.csv,2025-11-28
7,complemento,object,333000,ca-2023-01.csv,2025-11-28
8,bairro,object,828,ca-2023-01.csv,2025-11-28
9,cep,object,0,ca-2023-01.csv,2025-11-28
10,produto,object,0,ca-2023-01.csv,2025-11-28
11,data_da_coleta,datetime64[ns],0,ca-2023-01.csv,2025-11-28
12,valor_de_venda,float32,0,ca-2023-01.csv,2025-11-28
13,valor_de_compra,float32,431576,ca-2023-01.csv,2025-11-28
14,unidade_de_medida,object,0,ca-2023-01.csv,2025-11-28
15,bandeira,object,0,ca-2023-01.csv,2025-11-28
0,regiao_sigla,object,0,ca-2023-02.csv,2025-11-28
1,estado_sigla,object,0,ca-2023-02.csv,2025-11-28
2,municipio,object,0,ca-2023-02.csv,2025-11-28
3,revenda,object,0,ca-2023-02.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2023-02.csv,2025-11-28
5,nome_da_rua,object,0,ca-2023-02.csv,2025-11-28
6,numero_rua,object,140,ca-2023-02.csv,2025-11-28
7,complemento,object,362579,ca-2023-02.csv,2025-11-28
8,bairro,object,854,ca-2023-02.csv,2025-11-28
9,cep,object,0,ca-2023-02.csv,2025-11-28
10,produto,object,0,ca-2023-02.csv,2025-11-28
11,data_da_coleta,datetime64[ns],0,ca-2023-02.csv,2025-11-28
12,valor_de_venda,float32,0,ca-2023-02.csv,2025-11-28
13,valor_de_compra,float32,472424,ca-2023-02.csv,2025-11-28
14,unidade_de_medida,object,0,ca-2023-02.csv,2025-11-28
15,bandeira,object,0,ca-2023-02.csv,2025-11-28
0,regiao_sigla,object,0,ca-2024-01.csv,2025-11-28
1,estado_sigla,object,0,ca-2024-01.csv,2025-11-28
2,municipio,object,0,ca-2024-01.csv,2025-11-28
3,revenda,object,0,ca-2024-01.csv,2025-11-28
4,cnpj_da_revenda,object,0,ca-2024-01.csv,2025-11-28
5,nome_da_rua,object,0,ca-2024-01.csv,2025-11-28
